"id","collection","dc.contributor.author[en]","dc.contributor.author[ru]","dc.creator[en]","dc.creator[ru]","dc.date.created","dc.description[ru]","dc.identifier.other[en]","dc.identifier.other[ru]","dc.language.iso[en]","dc.publisher[en]","dc.publisher[ru]","dc.subject[en]","dc.subject[ru]","dc.title[ru]","dc.type[en]","sdm-archive.date.cataloged","sdm-archive.date.digitized","sdm-archive.date.textExtracted","sdm-archive.misc.archive-date","sdm-archive.misc.authenticity","sdm-archive.misc.classification-code","sdm-archive.misc.classification-group","sdm-archive.misc.completeness","sdm-archive.misc.document-type","sdm-archive.misc.fond","sdm-archive.misc.inventoryGroup","sdm-archive.misc.notes","sdm-archive.misc.storageItem"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","01 декабря 1925","ОФ-15845/1652 П. Жданов. Сделано мало. Статья в журнале ""Работник просвещения"" № 23, лл. 20-21. 2 экз. Время создания: 01 декабря 1925. Способ воспроизведения: печать типографская. Примечания: В статье - фотография А.Ф. Котса во время проведения экскурсии по ГДМ.","Storage item 1652 (inventory by Kalacheva I.P.)","Место хранения 1652 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","П. Жданов. Сделано мало. Статья в журнале ""Работник просвещения"" № 23, лл. 20-21. 2 экз","Text","2016-02-12","2014-12-23","","","","","","","печать типографская","ОФ-15845","Kalacheva","В статье - фотография А.Ф. Котса во время проведения экскурсии по ГДМ.","1652"
+,"123456789/2165","","Крупская, Надежда Константиновна","","Крупская, Надежда Константиновна","26 февраля 1926","ОФ-15845/1653 Рабочие университета. Заметка в газете ""Правда"". (Написано в т.ч. и о ГДМ). Время создания: 26 февраля 1926. Способ воспроизведения: машинопись.","Storage item 1653 (inventory by Kalacheva I.P.)","Место хранения 1653 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Рабочие университета. Заметка в газете ""Правда"". (Написано в т.ч. и о ГДМ)","Text","2016-02-12","2014-12-23","","","","","","","машинопись","ОФ-15845","Kalacheva","","1653"
+,"123456789/2165","","Кожевников, Григорий Александрович","","Кожевников, Григорий Александрович","1928; б/г","ОФ-15845/1654 Оттиски научных работ разных лет с дарственными надписями А.Ф. Котсу. Время создания: 1928; б/г. Способ воспроизведения: печать типографская. Примечания: Перечень работ прилагается. Брошюры - 2 шт.","Storage item 1654 (inventory by Kalacheva I.P.)","Место хранения 1654 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Оттиски научных работ разных лет с дарственными надписями А.Ф. Котсу","Text","2016-02-12","","","","","","","","печать типографская","ОФ-15845","Kalacheva","Перечень работ прилагается. Брошюры - 2 шт.","1654"
+,"123456789/2165","","Бобринский, Николай Алексеевич","","Бобринский, Николай Алексеевич","1928; 1940; б/г","ОФ-15845/1655 Оттиски научных работ, монографии. Время создания: 1928; 1940; б/г. Способ воспроизведения: печать типографская. Примечания: Перечень работ прилагается. Брошюры - 3 шт.","Storage item 1655 (inventory by Kalacheva I.P.)","Место хранения 1655 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Оттиски научных работ, монографии","Text","2016-02-12","","","","","","","","печать типографская","ОФ-15845","Kalacheva","Перечень работ прилагается. Брошюры - 3 шт.","1655"
+,"123456789/2165","Unknown author","Неизвестный автор","Unknown author","Неизвестный автор","1930-е","ОФ-15845/1656 Докладная записка народному комиссару просвещения А.С. Бубнову о невозможности слияния ГДМ и Биомузея им.Тимирязева. 3 экз. Время создания: 1930-е. Способ воспроизведения: машинопись.","Storage item 1656 (inventory by Kalacheva I.P.)","Место хранения 1656 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Докладная записка народному комиссару просвещения А.С. Бубнову о невозможности слияния ГДМ и Биомузея им.Тимирязева. 3 экз","Text","2016-02-12","","","","","","","","машинопись","ОФ-15845","Kalacheva","","1656"
+,"123456789/2165","Unknown author","Неизвестный автор","Unknown author","Неизвестный автор","1931","ОФ-15845/1657 Выписка из производственного плана Зоомузея МГУ на 1932 г. Общий план школьного отдела... Время создания: 1931. Способ воспроизведения: машинопись.","Storage item 1657 (inventory by Kalacheva I.P.)","Место хранения 1657 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Выписка из производственного плана Зоомузея МГУ на 1932 г. Общий план школьного отдела","Text","2016-02-12","","","","","","","","машинопись","ОФ-15845","Kalacheva","","1657"
+,"123456789/2165","","Дементьев, Георгий Петрович","","Дементьев, Георгий Петрович","1933-1961","ОФ-15845/1658 Оттиски научных работ с дарственными надписями А.Ф. Котсу. тт.1-2. Время создания: 1933-1961. Способ воспроизведения: печать типографская. Примечания: Перечень прилагается. Брошюры- 36 шт.","Storage item 1658 (inventory by Kalacheva I.P.)","Место хранения 1658 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Оттиски научных работ с дарственными надписями А.Ф. Котсу. тт.1-2","Text","2016-02-12","","","","","","","","печать типографская","ОФ-15845","Kalacheva","Перечень прилагается. Брошюры- 36 шт.","1658"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","15 апреля 1933","ОФ-15845/1659 Журнал ""Огонек"" № 8-9 (468-469). Время создания: 15 апреля 1933. Способ воспроизведения: печать типографская.","Storage item 1659 (inventory by Kalacheva I.P.)","Место хранения 1659 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Журнал ""Огонек"" № 8-9 (468-469)","Text","2016-02-12","","","","","","","","печать типографская","ОФ-15845","Kalacheva","","1659"
+,"123456789/2165","Unknown author","Неизвестный автор","Unknown author","Неизвестный автор","28 марта 1936","ОФ-15845/1660 Выписка о присвоении И.М. Герман звания - младшего научного сотрудника. Время создания: 28 марта 1936. Способ воспроизведения: машинопись.","Storage item 1660 (inventory by Kalacheva I.P.)","Место хранения 1660 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Выписка о присвоении И.М. Герман звания - младшего научного сотрудника","Text","2016-02-12","","","","","","","","машинопись","ОФ-15845","Kalacheva","","1660"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","26 апреля 1939","ОФ-15845/1661 В.Н. Макаров, Н.С. Ульянин. Акт о состоянии Центрального государственного зоологического музея. Время создания: 26 апреля 1939. Способ воспроизведения: машинопись.","Storage item 1661 (inventory by Kalacheva I.P.)","Место хранения 1661 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","В.Н. Макаров, Н.С. Ульянин. Акт о состоянии Центрального государственного зоологического музея","Text","2016-02-12","","","","","","","","машинопись","ОФ-15845","Kalacheva","","1661"
+,"123456789/2165","Unknown author","Неизвестный автор","Unknown author","Неизвестный автор","1941","ОФ-15845/1662 Запрос Н.В. Виноградову с просьбой возглавить группу зоологии в НИИ краеведческой и музейной работы. Время создания: 1941. Способ воспроизведения: рукопись.","Storage item 1662 (inventory by Kalacheva I.P.)","Место хранения 1662 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Запрос Н.В. Виноградову с просьбой возглавить группу зоологии в НИИ краеведческой и музейной работы","Text","2016-02-12","","","","","","","","рукопись","ОФ-15845","Kalacheva","","1662"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1942-1943","ОФ-15845/1663 И. Эринбург. Каштанка, и др. Статья в газете. Время создания: 1942-1943. Способ воспроизведения: печать типографская.","Storage item 1663 (inventory by Kalacheva I.P.)","Место хранения 1663 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","И. Эринбург. Каштанка, и др. Статья в газете","Text","2016-02-12","2013-11-26","","","","","","","печать типографская","ОФ-15845","Kalacheva","","1663"
+,"123456789/2165","","Смолин, Петр Петрович","","Смолин, Петр Петрович","28 декабря 1942","ОФ-15845/1664 Список мероприятий по организации в ГДМ архива - как структурного подразделения. Время создания: 28 декабря 1942. Способ воспроизведения: рукопись.","Storage item 1664 (inventory by Kalacheva I.P.)","Место хранения 1664 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Список мероприятий по организации в ГДМ архива - как структурного подразделения","Text","2016-02-12","2013-11-26","","","","","","","рукопись","ОФ-15845","Kalacheva","","1664"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","06 декабря 1944","ОФ-15845/1665 И.П. Кряжин, В.А. Рюмин. Тематическая структура экспозиции краеведческого музея. Время создания: 06 декабря 1944. Способ воспроизведения: машинопись.","Storage item 1665 (inventory by Kalacheva I.P.)","Место хранения 1665 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","И.П. Кряжин, В.А. Рюмин. Тематическая структура экспозиции краеведческого музея","Text","2016-02-12","2013-11-26","","","","","","","машинопись","ОФ-15845","Kalacheva","","1665"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","25 октября 1945","ОФ-15845/1666 Телефонограмма в ГДМ из Главкультснаба. Время создания: 25 октября 1945. Способ воспроизведения: рукопись.","Storage item 1666 (inventory by Kalacheva I.P.)","Место хранения 1666 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Телефонограмма в ГДМ из Главкультснаба","Text","2016-02-12","2013-11-26","","","","","","","рукопись","ОФ-15845","Kalacheva","","1666"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","06 сентября 1946","ОФ-15845/1667 И. Клабуновский, заместитель председателя Комитета по делам культурно просветительных учреждений при СМ РСФСР. Представление в ВС РСФСР о присвоении звания ""Заслуженный деятель искусства В.А. Ватагину и А.Н. Комарову."". Время создания: 06 сентября 1946. Способ воспроизведения: машинопись.","Storage item 1667 (inventory by Kalacheva I.P.)","Место хранения 1667 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","И. Клабуновский, заместитель председателя Комитета по делам культурно просветительных учреждений при СМ РСФСР. Представление в ВС РСФСР о присвоении звания ""Заслуженный деятель искусства В.А. Ватагину и А.Н. Комарову.""","Text","2016-02-12","2013-12-02","","","","","","","машинопись","ОФ-15845","Kalacheva","","1667"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","13 апреля 1947","ОФ-15845/1668 Рекламная карточка фотобюро МКВ пенсионеров научных работников. Время создания: 13 апреля 1947. Способ воспроизведения: машинопись.","Storage item 1668 (inventory by Kalacheva I.P.)","Место хранения 1668 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Рекламная карточка фотобюро МКВ пенсионеров научных работников","Text","2016-02-12","2013-11-26","","","","","","","машинопись","ОФ-15845","Kalacheva","","1668"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","22 июня 1948","ОФ-15845/1669 НИИ музейной и краеведческой работы. 1-й лист стенограммы совещания по вопросам экспозиции биологических музеев. Время создания: 22 июня 1948. Способ воспроизведения: машинопись.","Storage item 1669 (inventory by Kalacheva I.P.)","Место хранения 1669 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","НИИ музейной и краеведческой работы. 1-й лист стенограммы совещания по вопросам экспозиции биологических музеев","Text","2016-02-12","2013-11-26","","","","","","","машинопись","ОФ-15845","Kalacheva","","1669"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","11 января 1949","ОФ-15845/1670 В.И. Зубарева. Опыт реконструкции ископаемого стада зубров. Автореферат диссертации.+ Сопроводительное письмо из Института зоологии АН УССР. Время создания: 11 января 1949. Способ воспроизведения: машинопись.","Storage item 1670 (inventory by Kalacheva I.P.)","Место хранения 1670 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","В.И. Зубарева. Опыт реконструкции ископаемого стада зубров. Автореферат диссертации.+ Сопроводительное письмо из Института зоологии АН УССР","Text","2016-02-12","2013-11-26","","","","","","","машинопись","ОФ-15845","Kalacheva","","1670"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","март 1950","ОФ-15845/1671 Бланк заявки на землю под огород на 1950 г. месткома МГПИ им. В.И. Ленина. 2 экз. Время создания: март 1950. Способ воспроизведения: машинопись.","Storage item 1671 (inventory by Kalacheva I.P.)","Место хранения 1671 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Бланк заявки на землю под огород на 1950 г. месткома МГПИ им. В.И. Ленина. 2 экз","Text","2016-02-12","2013-11-26","","","","","","","машинопись","ОФ-15845","Kalacheva","","1671"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1954","ОФ-15845/1672 Е. Ильина. Бобровое хозяйство Воронежского заповедника. Государственное издательство культурно- просветительной литературы: М., 1954. Время создания: 1954. Способ воспроизведения: печать типографская.","Storage item 1672 (inventory by Kalacheva I.P.)","Место хранения 1672 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Е. Ильина. Бобровое хозяйство Воронежского заповедника. Государственное издательство культурно- просветительной литературы: М., 1954","Text","2016-02-12","2014-07-28","","","","","","","печать типографская","ОФ-15845","Kalacheva","","1672"
+,"123456789/2165","","Крушинский, Леонид Викторович","","Крушинский, Леонид Викторович","1958-1968","ОФ-15845/1673 Оттиски научных работ с дарственными надписями Дарвиновскому музею. Время создания: 1958-1968. Способ воспроизведения: печать типографская. Примечания: Перечень прилагается. Брошюр - 8 шт.","Storage item 1673 (inventory by Kalacheva I.P.)","Место хранения 1673 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Оттиски научных работ с дарственными надписями Дарвиновскому музею","Text","2016-02-12","2014-07-28","","","","","","","печать типографская","ОФ-15845","Kalacheva","Перечень прилагается. Брошюр - 8 шт.","1673"
+,"123456789/2165","","Смолин, Петр Петрович","","Смолин, Петр Петрович","1959","ОФ-15845/1674 План работы на 1959-1960 гг. Черновик текста. Время создания: 1959. Способ воспроизведения: рукопись.","Storage item 1674 (inventory by Kalacheva I.P.)","Место хранения 1674 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","План работы на 1959-1960 гг. Черновик текста","Text","2016-02-12","2014-07-28","","","","","","","рукопись","ОФ-15845","Kalacheva","","1674"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1959","ОФ-15845/1675 Н. Тарасов. Материалы о ""снежном человеке"" (2 статьи из журналов). + Письмо.+ Визитная карточка. Время создания: 1959. Способ воспроизведения: рукопись, печать типографская.","Storage item 1675 (inventory by Kalacheva I.P.)","Место хранения 1675 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Н. Тарасов. Материалы о ""снежном человеке"" (2 статьи из журналов). + Письмо.+ Визитная карточка","Text","2016-02-12","2014-07-28","","","","","","","рукопись, печать типографская","ОФ-15845","Kalacheva","","1675"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","29 сентября 1959","ОФ-15845/1676 АН СССР. 1809-1859-1959. Торжественное заседание, посвященное столетию ""Происхождению видов"" Ч. Дарвина и 150-летию ""Философии зоологии"" Ж. Ламарка... Программа заседания. Время создания: 29 сентября 1959. Способ воспроизведения: печать типографская.","Storage item 1676 (inventory by Kalacheva I.P.)","Место хранения 1676 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","АН СССР. 1809-1859-1959. Торжественное заседание, посвященное столетию ""Происхождению видов"" Ч. Дарвина и 150-летию ""Философии зоологии"" Ж. Ламарка... Программа заседания","Text","2016-02-12","2013-10-22","","","","","","","печать типографская","ОФ-15845","Kalacheva","","1676"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","02 сентября 1960","ОФ-15845/1677 Запрос Е.Н. Васильеву на правку справочника для приезжающих в Москву. Время создания: 02 сентября 1960. Способ воспроизведения: машинопись.","Storage item 1677 (inventory by Kalacheva I.P.)","Место хранения 1677 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Запрос Е.Н. Васильеву на правку справочника для приезжающих в Москву","Text","2016-02-12","2014-07-28","","","","","","","машинопись","ОФ-15845","Kalacheva","","1677"
+,"123456789/2165","","Конюс, Андрей Георгиевич","","Конюс, Андрей Георгиевич","07 ноября 1960","ОФ-15845/1678 Я - это все... Стихотворение. Время создания: 07 ноября 1960. Способ воспроизведения: рукопись.","Storage item 1678 (inventory by Kalacheva I.P.)","Место хранения 1678 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Я - это все... Стихотворение","Text","2016-02-12","2014-07-28","","","","","","","рукопись","ОФ-15845","Kalacheva","","1678"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1961","ОФ-15845/1679 Мейерхольд Л.Э. Письмо для ответа. Время создания: 1961. Способ воспроизведения: рукопись.","Storage item 1679 (inventory by Kalacheva I.P.)","Место хранения 1679 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Мейерхольд Л.Э. Письмо для ответа","Text","2016-02-12","2014-07-28","","","","","","","рукопись","ОФ-15845","Kalacheva","","1679"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1963","ОФ-15845/1680 МОИП. План работы на февраль 1963 г. Время создания: 1963. Способ воспроизведения: печать типографская.","Storage item 1680 (inventory by Kalacheva I.P.)","Место хранения 1680 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","МОИП. План работы на февраль 1963 г","Text","2016-02-12","","","","","","","","печать типографская","ОФ-15845","Kalacheva","","1680"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","05 сентября 1967","ОФ-15845/1681 Никитов... Рецензия на статью А.А. Парамонова ""Основные формы биологического движения..."". Время создания: 05 сентября 1967. Способ воспроизведения: машинопись.","Storage item 1681 (inventory by Kalacheva I.P.)","Место хранения 1681 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Никитов... Рецензия на статью А.А. Парамонова ""Основные формы биологического движения...""","Text","2016-02-12","","","","","","","","машинопись","ОФ-15845","Kalacheva","","1681"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1980-е","ОФ-15845/1682 Бланк ""Союзпушнины"". (Формат А5). Время создания: 1980-е. Способ воспроизведения: печать типографская.","Storage item 1682 (inventory by Kalacheva I.P.)","Место хранения 1682 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Бланк ""Союзпушнины"". (Формат А5)","Text","2016-02-12","","","","","","","","печать типографская","ОФ-15845","Kalacheva","","1682"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","","ОФ-15845/1683 Librairie universitaire J. Gamber. Catalogue LXVII... Способ воспроизведения: печать типографская.","Storage item 1683 (inventory by Kalacheva I.P.)","Место хранения 1683 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Librairie universitaire J. Gamber. Catalogue LXVII","Text","2016-02-12","","","","","","","","печать типографская","ОФ-15845","Kalacheva","","1683"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","б/г","ОФ-15845/1684 Pierre P. Grasse. Визитная карточка. Время создания: б/г. Способ воспроизведения: печать типографская, рукопись.","Storage item 1684 (inventory by Kalacheva I.P.)","Место хранения 1684 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Pierre P. Grasse. Визитная карточка","Text","2016-02-12","","","","","","","","печать типографская, рукопись","ОФ-15845","Kalacheva","","1684"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","б/г","ОФ-15845/1685 Достопримечательности Великобритании. Печатные фото из альбома. Разрозненные листы. Время создания: б/г. Способ воспроизведения: печать типографская.","Storage item 1685 (inventory by Kalacheva I.P.)","Место хранения 1685 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Достопримечательности Великобритании. Печатные фото из альбома. Разрозненные листы","Text","2016-02-12","","","","","","","","печать типографская","ОФ-15845","Kalacheva","","1685"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","б/г","ОФ-15845/1686 Munchens Tierpark Hellabrunn. Альбом с фотографиями. 18-й и 19-й лл.; + Обложка. Время создания: б/г. Способ воспроизведения: печать типографская.","Storage item 1686 (inventory by Kalacheva I.P.)","Место хранения 1686 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Munchens Tierpark Hellabrunn. Альбом с фотографиями. 18-й и 19-й лл.; + Обложка","Text","2016-02-12","","","","","","","","печать типографская","ОФ-15845","Kalacheva","","1686"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","","ОФ-15845/1687 Hon. W. Rothschild Museum tring. Почтовая открытка. Способ воспроизведения: печать типографская.","Storage item 1687 (inventory by Kalacheva I.P.)","Место хранения 1687 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Hon. W. Rothschild Museum tring. Почтовая открытка","Text","2016-02-12","","","","","","","","печать типографская","ОФ-15845","Kalacheva","","1687"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","","ОФ-15845/1688 Рекламный лист книги W.W. Jacobs ""Light Freights"" и др. изданий Nebines Sixpenny novels illustrated. Способ воспроизведения: печать типографская.","Storage item 1688 (inventory by Kalacheva I.P.)","Место хранения 1688 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Рекламный лист книги W.W. Jacobs ""Light Freights"" и др. изданий Nebines Sixpenny novels illustrated","Text","2016-02-12","","","","","","","","печать типографская","ОФ-15845","Kalacheva","","1688"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","","ОФ-15845/1689 Фоторепродукция скульптуры собаки. Надписи на фото: Parys-Louvre. Piese Yabiow. Способ воспроизведения: фотопозитив (в паспарту).","Storage item 1689 (inventory by Kalacheva I.P.)","Место хранения 1689 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Фоторепродукция скульптуры собаки. Надписи на фото: Parys-Louvre. Piese Yabiow","Text","2016-02-12","","","","","","","","фотопозитив (в паспарту)","ОФ-15845","Kalacheva","","1689"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","б/г; 1870-1962","ОФ-15845/1690 Оттиски научных работ, периодические издания; монографии.. разных авторов на немецко языке с дарственными надписями А.Ф. Котсу е его автографами. 1-2 тт. Время создания: б/г; 1870-1962. Способ воспроизведения: печать типографская. Примечания: Перечень 36 брошюр прилагается.","Storage item 1690 (inventory by Kalacheva I.P.)","Место хранения 1690 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Оттиски научных работ, периодические издания; монографии.. разных авторов на немецко языке с дарственными надписями А.Ф. Котсу е его автографами. 1-2 тт","Text","2016-02-12","","","","","","","","печать типографская","ОФ-15845","Kalacheva","Перечень 36 брошюр прилагается.","1690"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","б/г; 1885-1962","ОФ-15845/1691 Оттиски научных работ разных авторов на английском языке с дарственными надписями А.Ф. Котсу. Время создания: б/г; 1885-1962. Способ воспроизведения: печать типографская. Примечания: Перечень 15 брошюр прилагается.","Storage item 1691 (inventory by Kalacheva I.P.)","Место хранения 1691 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Оттиски научных работ разных авторов на английском языке с дарственными надписями А.Ф. Котсу","Text","2016-02-12","","","","","","","","печать типографская","ОФ-15845","Kalacheva","Перечень 15 брошюр прилагается.","1691"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1894","ОФ-15845/1692 W.K. Parker. On the morpholoqy of the skull in the woodpeckers and wrynecks. Transaction of the lennean society. Время создания: 1894. Способ воспроизведения: печать типографская.","Storage item 1692 (inventory by Kalacheva I.P.)","Место хранения 1692 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","W.K. Parker. On the morpholoqy of the skull in the woodpeckers and wrynecks. Transaction of the lennean society","Text","2016-02-12","","","","","","","","печать типографская","ОФ-15845","Kalacheva","","1692"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1896","ОФ-15845/1693 P. Dusen. Zwli Charakterbaume des mitteren Chile. Текст. Время создания: 1896. Способ воспроизведения: печать типографская.","Storage item 1693 (inventory by Kalacheva I.P.)","Место хранения 1693 (опись Калачевой И.П.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","P. Dusen. Zwli Charakterbaume des mitteren Chile. Текст","Text","2016-02-12","","","","","","","","печать типографская","ОФ-15845","Kalacheva","","1693"
